songId,barIndex,refFirstChord,genFirstChord,refSoundingPc,genSoundingPc,chordMatch,midiTopPcs,refCapo,genCapo,notes
nerd-good-night,0,C,D,2,2,1,2;6;9,2,0,refBars=24 genBars=133
nerd-good-night,1,E,Dmaj7,6,2,0,6;2;1;9;10,2,0,refBars=24 genBars=133
nerd-good-night,2,Am,D#m7,11,3,0,6;11;2;1;9;10,2,0,refBars=24 genBars=133
nerd-good-night,3,Am,Gmaj7,11,7,0,6;2;11,2,0,refBars=24 genBars=133
nerd-good-night,4,F,,7,,,2;7;6;11,2,0,refBars=24 genBars=133
nerd-good-night,5,Fm7,Em7,7,4,0,2;7;11,2,0,refBars=24 genBars=133
nerd-good-night,6,C,Em7b5,2,4,0,2;6;7;4;9;10,2,0,refBars=24 genBars=133
nerd-good-night,7,C,Dadd9,2,2,1,2;6;9,2,0,refBars=24 genBars=133
nerd-good-night,8,C,D,2,2,1,2;9;6,2,0,refBars=24 genBars=133
nerd-good-night,9,E,Dmaj7,6,2,0,2;6;1;9,2,0,refBars=24 genBars=133
nerd-good-night,10,Am,,11,,,11;6;1;2;10,2,0,refBars=24 genBars=133
nerd-good-night,11,Am,,11,,,6;2;11,2,0,refBars=24 genBars=133
nerd-good-night,12,F,Gmaj7,7,7,1,2;11;7,2,0,refBars=24 genBars=133
nerd-good-night,13,Fm7,Em7,7,4,0,2;7;11,2,0,refBars=24 genBars=133
nerd-good-night,14,C,D#maj7,2,3,0,2;6;4;9;10,2,0,refBars=24 genBars=133
nerd-good-night,15,C,Dadd9,2,2,1,6;2;9,2,0,refBars=24 genBars=133
nerd-good-night,16,C,D,2,2,1,2;6;9,2,0,refBars=24 genBars=133
nerd-good-night,17,E,Dmaj7,6,2,0,6;1;2;9,2,0,refBars=24 genBars=133
nerd-good-night,18,Am,F#sus4,11,6,0,6;11;1;10,2,0,refBars=24 genBars=133
nerd-good-night,19,Am,Gmaj7,11,7,0,6;2;11;1,2,0,refBars=24 genBars=133
nerd-good-night,20,F,Gmaj7,7,7,1,2;7;1;6;11,2,0,refBars=24 genBars=133
nerd-good-night,21,Fm7,Em7,7,4,0,2;7;11,2,0,refBars=24 genBars=133
nerd-good-night,22,C,D#maj7,2,3,0,2;6;4;7;9;10,2,0,refBars=24 genBars=133
nerd-good-night,23,C,Dadd9,2,2,1,2;6;9,2,0,refBars=24 genBars=133
kwak-confession,0,E,?,6,,,6;1;10,2,0,refBars=9 genBars=129
